2026-07-12 14:21:54 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:21:54 | INFO     | jarvis.voice | Speech Ratio=0.49
2026-07-12 14:21:54 | INFO     | jarvis.voice | EVENT : SPEECH_DETECTED
2026-07-12 14:21:55 | INFO     | jarvis.voice | Detected Language : en
2026-07-12 14:21:55 | INFO     | jarvis.voice | Recognition : 
2026-07-12 14:21:55 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:22:00 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:22:00 | INFO     | jarvis.voice | Speech Ratio=0.13
2026-07-12 14:22:00 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:22:00 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:22:05 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:22:05 | INFO     | jarvis.voice | Speech Ratio=0.16
2026-07-12 14:22:05 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:22:05 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:22:10 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:22:10 | INFO     | jarvis.voice | Speech Ratio=0.39
2026-07-12 14:22:10 | INFO     | jarvis.voice | EVENT : SPEECH_DETECTED
2026-07-12 14:22:12 | INFO     | jarvis.voice | Detected Language : en
2026-07-12 14:22:12 | INFO     | jarvis.voice | Recognition : HIPHIPHOPHOPHOPHIPHOPHOPHOPHOPHOPHOMO
2026-07-12 14:22:12 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:22:17 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:22:17 | INFO     | jarvis.voice | Speech Ratio=0.33
2026-07-12 14:22:17 | INFO     | jarvis.voice | EVENT : SPEECH_DETECTED
2026-07-12 14:22:18 | INFO     | jarvis.voice | Detected Language : en
2026-07-12 14:22:18 | INFO     | jarvis.voice | Recognition : 
2026-07-12 14:22:18 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:22:23 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:22:23 | INFO     | jarvis.voice | Speech Ratio=0.05
2026-07-12 14:22:23 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:22:23 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:22:29 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:22:29 | INFO     | jarvis.voice | Speech Ratio=0.02
2026-07-12 14:22:29 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:22:29 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:22:34 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:22:34 | INFO     | jarvis.voice | Speech Ratio=0.00
2026-07-12 14:22:34 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:22:34 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:22:39 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:22:39 | INFO     | jarvis.voice | Speech Ratio=0.04
2026-07-12 14:22:39 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:22:39 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:22:44 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:22:44 | INFO     | jarvis.voice | Speech Ratio=0.14
2026-07-12 14:22:44 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:22:44 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:22:49 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:22:49 | INFO     | jarvis.voice | Speech Ratio=0.05
2026-07-12 14:22:49 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:22:49 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:22:54 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:22:54 | INFO     | jarvis.voice | Speech Ratio=0.20
2026-07-12 14:22:54 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:22:54 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:23:00 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:23:00 | INFO     | jarvis.voice | Speech Ratio=0.15
2026-07-12 14:23:00 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:23:00 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:23:05 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:23:05 | INFO     | jarvis.voice | Speech Ratio=0.27
2026-07-12 14:23:05 | INFO     | jarvis.voice | EVENT : SPEECH_DETECTED
2026-07-12 14:23:07 | INFO     | jarvis.voice | Detected Language : en
2026-07-12 14:23:07 | INFO     | jarvis.voice | Recognition : So... I don't...
2026-07-12 14:23:07 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:23:12 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:23:12 | INFO     | jarvis.voice | Speech Ratio=0.02
2026-07-12 14:23:12 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:23:12 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:23:17 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:23:17 | INFO     | jarvis.voice | Speech Ratio=0.13
2026-07-12 14:23:17 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:23:17 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:23:23 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:23:23 | INFO     | jarvis.voice | Speech Ratio=0.02
2026-07-12 14:23:23 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:23:23 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:23:28 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:23:28 | INFO     | jarvis.voice | Speech Ratio=0.05
2026-07-12 14:23:28 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:23:28 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:23:33 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:23:33 | INFO     | jarvis.voice | Speech Ratio=0.02
2026-07-12 14:23:33 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:23:33 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:23:38 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:23:38 | INFO     | jarvis.voice | Speech Ratio=0.02
2026-07-12 14:23:38 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:23:38 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:23:43 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:23:43 | INFO     | jarvis.voice | Speech Ratio=0.00
2026-07-12 14:23:43 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:23:43 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:23:49 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:23:49 | INFO     | jarvis.voice | Speech Ratio=0.02
2026-07-12 14:23:49 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:23:49 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:23:54 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:23:54 | INFO     | jarvis.voice | Speech Ratio=0.00
2026-07-12 14:23:54 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:23:54 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:23:59 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:23:59 | INFO     | jarvis.voice | Speech Ratio=0.19
2026-07-12 14:23:59 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:23:59 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:24:04 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:24:04 | INFO     | jarvis.voice | Speech Ratio=0.24
2026-07-12 14:24:04 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:24:04 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:24:09 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:24:09 | INFO     | jarvis.voice | Speech Ratio=0.14
2026-07-12 14:24:09 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:24:09 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:24:14 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:24:14 | INFO     | jarvis.voice | Speech Ratio=0.02
2026-07-12 14:24:14 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:24:14 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:24:20 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:24:20 | INFO     | jarvis.voice | Speech Ratio=0.02
2026-07-12 14:24:20 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:24:20 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:24:25 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:24:25 | INFO     | jarvis.voice | Speech Ratio=0.10
2026-07-12 14:24:25 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:24:25 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:24:30 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:24:30 | INFO     | jarvis.voice | Speech Ratio=0.00
2026-07-12 14:24:30 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:24:30 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:24:35 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:24:35 | INFO     | jarvis.voice | Speech Ratio=0.02
2026-07-12 14:24:35 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:24:35 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:24:40 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:24:40 | INFO     | jarvis.voice | Speech Ratio=0.15
2026-07-12 14:24:40 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:24:40 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:24:46 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:24:46 | INFO     | jarvis.voice | Speech Ratio=0.02
2026-07-12 14:24:46 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:24:46 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:24:51 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:24:51 | INFO     | jarvis.voice | Speech Ratio=0.02
2026-07-12 14:24:51 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:24:51 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:24:56 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:24:56 | INFO     | jarvis.voice | Speech Ratio=0.19
2026-07-12 14:24:56 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:24:56 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:25:01 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:25:01 | INFO     | jarvis.voice | Speech Ratio=0.22
2026-07-12 14:25:01 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:25:01 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:25:07 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:25:07 | INFO     | jarvis.voice | Speech Ratio=0.02
2026-07-12 14:25:07 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:25:07 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:25:12 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:25:12 | INFO     | jarvis.voice | Speech Ratio=0.00
2026-07-12 14:25:12 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:25:12 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:25:17 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:25:17 | INFO     | jarvis.voice | Speech Ratio=0.00
2026-07-12 14:25:17 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:25:17 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:25:22 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:25:22 | INFO     | jarvis.voice | Speech Ratio=0.44
2026-07-12 14:25:22 | INFO     | jarvis.voice | EVENT : SPEECH_DETECTED
2026-07-12 14:25:23 | INFO     | jarvis.voice | Detected Language : en
2026-07-12 14:25:23 | INFO     | jarvis.voice | Recognition : You
2026-07-12 14:25:23 | INFO     | jarvis.voice | Recording started.
